movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length,genre
"[4, 14]",88,Sleepless in Seattle (1993),https://images-na.ssl-images-amazon.com/images/M/MV5BZTNiMWUzNGItMzYzMy00MWZmLTk3MTQtOWUxNDQ1ZDljMGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0108160/?ref_=fn_al_tt_1,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,6.8,167K,['Nora Ephron'],"['Jeff Arch', 'Nora Ephron', 'David S. Ward']","['Tom Hanks', 'Meg Ryan', 'Ross Malinger', 'Rita Wilson', 'Victor Garber', 'Tom Riis Farrell', 'Carey Lowell', 'Bill Pullman', 'Le Clanché du Rand', ""Kevin O'Morrison"", 'David Hyde Pierce', 'Valerie Wright', 'Frances Conroy', 'Tom Tammi', 'Calvin Trillin', 'Caroline Aaron', 'Linda Wallem', 'LaTanya Richardson Jackson']",PG,1993,1h 45min,[]
"[0, 16]",1548,The Courtyard (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BOTI3M2ZkZjItMzVjYi00MzM2LWJmZDYtYmQ0MWI1YjI5MTdlXkEyXkFqcGdeQXVyMzU0NzkwMDg@..jpg,http://www.imdb.com/title/tt0112727/?ref_=fn_al_tt_1,"Architect Jonathan moves into an LA courtyard apartment complex, then one of his neighbors is murdered by mistake.. Jonathan was the intended victim.",5.2,260,['Fred Walton'],"['Wendy Biller', 'Christopher Hawthorne']","['Andrew McCarthy', 'Mädchen Amick', 'Cheech Marin', 'Bonnie Bartlett', 'David Packer', 'Vincent Schiavelli', 'David Proval', 'Jonathan Penner', 'Lara Piper', 'John Wesley', 'Channon Roe', 'Jan Hoag', 'Denver Mattson', 'Dot-Marie Jones', 'Steven Jang', 'Craig Aldrich', 'David Nelson', 'Roderick Garr']",,,,[]
"[0, 1]",829,Fled (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMWQxMWI5NWUtZmJlMi00ZjUzLWIwMWYtNDFlMGU5Yjk5MGQ5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg,http://www.imdb.com/title/tt0116320/?ref_=fn_al_tt_1,Two prisoners chained together flee during an escape attempt gone bad.,5.4,8.9K,['Kevin Hooks'],['Preston A. Whitmore II'],"['Laurence Fishburne', 'Stephen Baldwin', 'Will Patton', 'Robert John Burke', 'Robert Hooks', 'Victor Rivers', 'David Dukes', 'Ken Jenkins', 'Michael Nader', 'Brittney Powell', 'Salma Hayek', 'Steve Carlisle', 'Brett Rice', 'J. Don Ferguson', 'Kathy Payne', 'Robert Apisa', 'Gary Yates', 'Jon Huffman']",R,1996,1h 38min,[]
"[5, 7, 16]",1213,Guilty as Sin (1993),https://images-na.ssl-images-amazon.com/images/M/MV5BM2EwMWVmODYtYjJmOC00ZDdiLWJmYzgtOGVhMzA2Mjc4ZjAwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,http://www.imdb.com/title/tt0107057/?ref_=fn_al_tt_1,"A female lawyer takes an accused wife-murderer as a client, but finds herself morally compelled to betray him one way or another.",5.6,5.2K,['Sidney Lumet'],['Larry Cohen'],"['Rebecca De Mornay', 'Don Johnson', 'Stephen Lang', 'Jack Warden', 'Dana Ivey', 'Ron White', ""Norma Dell'Agnese"", 'Sean McCann', 'Luis Guzmán', 'Robert Kennedy', 'James Blendick', 'Tom Butler', 'Christina Grace', 'Lynne Cormack', 'Barbara Eve Harris', 'Simon Sinn', 'John Kapelos', 'Tom McCamus']",R,1993,1h 47min,[]
[13],533,"Daytrippers, The (1996)",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4ODM1OTM0Ml5BMl5BanBnXkFtZTcwNjcwODAyMQ@@..jpg,http://www.imdb.com/title/tt0116041/?ref_=fn_al_tt_1,"When she discovers a love letter written to her husband by an unknown paramour, the distraught Eliza turns to her tight-knit Long Island family for advice.",7.0,5.3K,['Greg Mottola'],['Greg Mottola'],"['Hope Davis', 'Stanley Tucci', 'Parker Posey', 'Liev Schreiber', 'Pat McNamara', 'Anne Meara', 'Stephanie Venditto', 'Campbell Scott', 'Marc Grapey', 'Douglas McGrath', 'Jill Rowe', 'Andy Brown', 'Paul Herman', 'Amy Stiller', 'Peter Askin', 'Marcia Haufrecht', 'Carol Locatell', 'Marcia Gay Harden']",R,1996,1h 27min,[]
"[0, 14, 16]",33,Desperado (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BYjA0NDMyYTgtMDgxOC00NGE0LWJkOTQtNDRjMjEzZmU0ZTQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0112851/?ref_=fn_al_tt_1,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,7.2,179K,['Robert Rodriguez'],['Robert Rodriguez'],"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida', 'Cheech Marin', 'Steve Buscemi', 'Carlos Gómez', 'Quentin Tarantino', 'Tito Larriva', 'Angel Aviles', 'Danny Trejo', 'Abraham Verduzco', 'Carlos Gallardo', 'Albert Michel Jr.', 'David Alvarado', 'Angela Lanza', 'Mike Moroff', 'Robert Arevalo', 'Gerardo Moscoso']",R,1995,1h 44min,[]
"[7, 16]",1229,Poison Ivy II (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BMzI1NzYyMzc5MV5BMl5BanBnXkFtZTcwMjQwOTYyMQ@@..jpg,http://www.imdb.com/title/tt0114151/?ref_=fn_al_tt_1,"First time out of Michigan, Lily starts art school in LA and shares a house with other young artistic people. Both her teacher and a roomie/classmate show interest in her.",4.5,5.8K,['Anne Goursaud'],['Chloe King'],"['Alyssa Milano', 'Johnathon Schaech', 'Xander Berkeley', 'Belinda Bauer', 'Camilla Belle', 'Kathryne Dora Brown', 'Walter Kim', 'Victoria Haas', 'Tara Ellison', 'Mychal Wilson', 'Joey Krees', 'Kate Rodger', 'Howard Brown']",R,1996,1h 46min,[]
[7],1319,"Neon Bible, The (1995)",https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1MzgyMDUyNl5BMl5BanBnXkFtZTcwNTk5MjcyMQ@@..jpg,http://www.imdb.com/title/tt0113952/?ref_=fn_al_tt_1,"While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality of memory while creating a heartfelt portrait of a boy's life in a rural 1940s Southern town.",6.2,832,['Terence Davies'],"['Terence Davies', 'John Kennedy Toole']","['Jacob Tierney', 'Drake Bell', 'Gena Rowlands', 'Diana Scarwid', 'Denis Leary', 'Bob Hannah', 'Aaron Frisch', 'Charles Franzen', 'Leo Burmester', 'Sherry Velvet', 'Stephanie Astalos-Jones', 'Ian Shearer', 'Joan Glover', 'Jill Jane Clements', 'Tom Turbiville', 'Sharon Blackwood', 'Peter McRobbie', 'Ken Fight']",Not Rated,1995,1h 31min,[]
[7],729,Nell (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BYjU5NDMyNjUtNmFiNi00NWNhLWFhMmUtNjJlYzEwYzM4YzViXkEyXkFqcGdeQXVyMTQ4NDY5OTc@..jpg,http://www.imdb.com/title/tt0110638/?ref_=fn_al_tt_1,"In a remote woodland cabin, a small-town doctor discovers Nell - a beautiful young hermit-woman with many secrets.",6.5,29K,['Michael Apted'],"['Mark Handley', 'William Nicholson']","['Jodie Foster', 'Liam Neeson', 'Natasha Richardson', 'Richard Libertini', 'Nick Searcy', 'Robin Mullins', 'Jeremy Davies', ""O'Neal Compton"", 'Heather M. Bomba', 'Marianne E. Bomba', 'Sean Bridgers', 'Joe Inscoe', 'Stephanie Dawn Wood', 'Mary Lynn Riner', 'Lucile McIntyre', 'Al Wiggins', 'Beth Bostic', 'Rob Buren III']",PG-13,1994,1h 52min,[]
[4],763,Happy Gilmore (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NjUxODg3Ml5BMl5BanBnXkFtZTcwNzcyODc5Mw@@..jpg,http://www.imdb.com/title/tt0116483/?ref_=fn_al_tt_1,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,7.0,209K,['Dennis Dugan'],"['Tim Herlihy', 'Adam Sandler']","['Adam Sandler', 'Christopher McDonald', 'Julie Bowen', 'Frances Bay', 'Carl Weathers', 'Allen Covert', 'Robert Smigel', 'Bob Barker', 'Richard Kiel', 'Dennis Dugan', 'Joe Flaherty', 'Lee Trevino', 'Kevin Nealon', 'Verne Lundquist', 'Jared Van Snellenberg', 'Ken Camroux-Taylor', 'Rich Elwood', 'Nancy Hillis']",PG-13,1996,1h 32min,[]
[5],1510,Mad Dog Time (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NzU0MDc5OV5BMl5BanBnXkFtZTcwNjgxMjA0MQ@@..jpg,http://www.imdb.com/title/tt0116953/?ref_=fn_al_tt_1,"With his boss in the madhouse, a mobster is temporary boss of the criminal empire just as vicious rivals threaten the control of the empire.",5.4,2.8K,['Larry Bishop'],['Larry Bishop'],"['Michael J. Pollard', 'Henry Silva', 'Gabriel Byrne', 'Jeff Goldblum', 'Ellen Barkin', 'Gregory Hines', 'Angie Everhart', 'Kyle MacLachlan', 'Billy Idol', 'Juan Fernández', 'Billy Drago', 'Christopher Jones', 'Richard Dreyfuss', 'Burt Reynolds', 'Réal Andrews', 'Jon Ingrassia', 'Paul Anka', 'Larry Bishop']",R,1996,1h 33min,[]
"[0, 7, 19]",510,"Magnificent Seven, The (1954)",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNTc0NTAyM15BMl5BanBnXkFtZTgwMTk1ODA5OTE@..jpg,http://www.imdb.com/title/tt2404435/?ref_=fn_al_tt_1,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,6.9,200K,['Antoine Fuqua'],"['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']","['Denzel Washington', 'Chris Pratt', 'Ethan Hawke', ""Vincent D'Onofrio"", 'Lee Byung-hun', 'Manuel Garcia-Rulfo', 'Martin Sensmeier', 'Haley Bennett', 'Peter Sarsgaard', 'Luke Grimes', 'Matt Bomer', 'Jonathan Joss', 'Cam Gigandet', 'Emil Beheshti', 'Mark Ashworth', 'Billy Slaughter', 'Dodge Prince', 'Matthew Posey']",PG-13,2016,2h 12min,[]
[7],1514,Dream With the Fishes (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwODgxNDE0Ml5BMl5BanBnXkFtZTcwMzg0MTUxMQ@@..jpg,http://www.imdb.com/title/tt0119019/?ref_=fn_al_tt_1,"Terry is a suicidal voyeur who treats a dying addict to a final binge, but Terry will only do this if he promises to kill him.",7.0,1.8K,['Finn Taylor'],"['Finn Taylor', 'Jeffrey D. Brown']","['David Arquette', 'Brad Hunt', 'Cathy Moriarty', 'Kathryn Erbe', 'Patrick McGaw', 'J.E. Freeman', 'Timi Prulhiere', 'Anita Barone', 'Allyce Beasley', 'Peter Gregory', 'Richmond Arquette', 'George Maguire', 'Kristina Robbins', 'Katherine Copenhaver', 'Gary Brickman', 'Nina Peschcke-Koedt', 'Orril Fluharty', 'Michael Halton']",R,1997,1h 37min,[]
"[5, 16]",336,Playing God (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NDA0NjgyM15BMl5BanBnXkFtZTcwOTM5MzcxMQ@@..jpg,http://www.imdb.com/title/tt0119906/?ref_=fn_al_tt_1,A disgraced surgeon leaves his former life and reinvents himself as a gunshot doctor in the criminal underworld.,5.6,7.5K,['Andy Wilson'],['Mark Haskell Smith'],"['David Duchovny', 'Timothy Hutton', 'Angelina Jolie', 'Michael Massee', 'Peter Stormare', 'Andrew Tiernan', 'Gary Dourdan', 'John Hawkes', 'Will Stewart', 'Philip Moon', 'Pasha D. Lychnikoff', 'Tracey Walter', 'Sandra Kinder', 'Bill Rosier', 'Keone Young', 'Eric DaRe', 'Gareth Williams', 'Teo']",R,1997,1h 34min,[]
"[10, 16]",1625,Nightwatch (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BYWQyNzdhNTQtZjUzYS00Yzk2LTk3OTEtYzhkYjc4YzJiMGYyXkEyXkFqcGdeQXVyNjU0NTI0Nw@@..jpg,http://www.imdb.com/title/tt0119791/?ref_=fn_al_tt_1,"A law student, who takes a job as a night watchman at a morgue, begins to discover clues that implicate him as the suspect of a series of murders.",6.2,19K,['Ole Bornedal'],"['Ole Bornedal', 'Steven Soderbergh']","['Ewan McGregor', 'Nick Nolte', 'Anais Evans', 'Erich Anderson', 'Josh Brolin', 'Lauren Graham', 'Patricia Arquette', 'Lonny Chapman', 'Scott Burkholder', 'Brad Dourif', 'Michael Matthys', 'Alison Gale', 'Robert LaSardo', 'Mongo Brownlee', 'Candy Ann Brown', 'Michelle Csitos', 'Alix Koromzay', 'Larry Cedar']",R,1997,1h 41min,[]
"[0, 4, 19]",232,Young Guns (1988),https://images-na.ssl-images-amazon.com/images/M/MV5BODA0MWZhNjctZWUxYy00OThjLWJkNGQtZjNlNGMzY2Y0MDBjXkEyXkFqcGdeQXVyMjY3MjUzNDk@..jpg,http://www.imdb.com/title/tt0096487/?ref_=fn_al_tt_1,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",6.9,58K,['Christopher Cain'],['John Fusco'],"['Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips', 'Charlie Sheen', 'Dermot Mulroney', 'Casey Siemaszko', 'Terence Stamp', 'Jack Palance', ""Terry O'Quinn"", 'Sharon Thomas Cain', 'Geoffrey Blake', 'Alice Carter', 'Brian Keith', 'Thomas Callaway', 'Patrick Wayne', 'Lisa Banes', 'Sam Gauny', 'Cody Palance']",R,1988,1h 47min,[]
"[0, 14]",161,Top Gun (1986),https://images-na.ssl-images-amazon.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg,http://www.imdb.com/title/tt0092099/?ref_=fn_al_tt_1,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",6.9,312K,['Tony Scott'],"['Jim Cash', 'Jack Epps Jr.', 'Ehud Yonay']","['Tom Cruise', 'Tim Robbins', 'Kelly McGillis', 'Val Kilmer', 'Anthony Edwards', 'Tom Skerritt', 'Michael Ironside', 'John Stockwell', 'Barry Tubb', 'Rick Rossovich', 'Clarence Gilyard Jr.', 'Whip Hubley', 'James Tolkan', 'Meg Ryan', 'Adrian Pasdar', 'Randall Brady', 'Duke Stroud', 'Brian Sheehan']",PG,1986,1h 50min,[]
"[5, 9, 13, 16]",302,L.A. Confidential (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg,http://www.imdb.com/title/tt0119488/?ref_=fn_al_tt_1,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",8.2,553K,['Curtis Hanson'],"['James Ellroy', 'Brian Helgeland', 'Curtis Hanson']","['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'Kim Basinger', 'James Cromwell', 'Danny DeVito', 'David Strathairn', 'Ron Rifkin', 'Matt McCoy', 'Paul Guilfoyle', 'Paolo Seganti', 'Elisabeth Granli', 'Sandra Taylor', 'Steve Rankin', 'Graham Beckel', 'Allan Graf', 'Precious Chong', 'Symba']",R,1997,2h 18min,[]
[14],918,City of Angels (1998),https://images-na.ssl-images-amazon.com/images/M/MV5BZjk2OTEwNDEtNjVhYi00MzI3LWFhNzctZGUzOWMxMDMwZjJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0120632/?ref_=fn_al_tt_1,"An angel on Earth, a doctor unable to believe, a patient with a secret, a love story made in Heaven.",6.7,117K,['Brad Silberling'],"['Wim Wenders', 'Peter Handke', 'Richard Reitinger']","['Nicolas Cage', 'Meg Ryan', 'Andre Braugher', 'Dennis Franz', 'Colm Feore', 'Robin Bartlett', 'Joanna Merlin', 'Sarah Dampf', 'Rhonda Dotson', 'Nigel Gibbs', 'John Putch', 'Lauri Johnson', 'Christian Aubert', 'Jay Patterson', 'Shishir Kurup', 'Brian Markinson', 'Hector Velasquez', 'Marlene Kanter']",PG-13,1998,1h 54min,[]
"[0, 1, 14, 15, 18]",50,Star Wars (1977),https://images-na.ssl-images-amazon.com/images/M/MV5BZmJmMTM5YzItOTU2OS00ZGUwLWI3MzgtMmYwMWY2YmFlM2Q1XkEyXkFqcGdeQXVyNjg3MDM4Mzc@..jpg,http://www.imdb.com/title/tt6855750/?ref_=fn_al_tt_1,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.",,,,,,,,,[]
"[0, 1, 15]",222,Star Trek: First Contact (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BM2M0NTMxOWMtYWRhNC00OGVmLTg2ZTgtNzM2YTI0ZmE5NmQzXkEyXkFqcGdeQXVyMzMxNDQ0NQ@@..jpg,http://www.imdb.com/title/tt1776302/?ref_=fn_al_tt_1,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.",7.5,24,,,,,Video Game,1988,[]
"[5, 7]",1226,Night Falls on Manhattan (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BNmE1YWM5NWItYjNmZC00ZmVlLTg2OGEtN2M5NDRhNmJiYTlmXkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,http://www.imdb.com/title/tt0119783/?ref_=fn_al_tt_1,A newly elected District Attorney finds himself in the middle of a police corruption investigation that may involve his father and his partner.,6.6,7.2K,['Sidney Lumet'],"['Robert Daley', 'Sidney Lumet']","['Andy Garcia', 'Richard Dreyfuss', 'Lena Olin', 'Ian Holm', 'James Gandolfini', 'Shiek Mahmud-Bey', 'Colm Feore', 'Ron Leibman', 'Dominic Chianese', 'Paul Guilfoyle', 'Bonnie Rose', 'Norman Matlock', 'Sidney Armus', 'James Murtaugh', 'Melba Martinez', 'Santo Fazio', 'Anthony Alessandro', 'David Fonteno']",R,1996,1h 53min,[]
[7],1220,Higher Learning (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BOWFlM2FkM2YtZWFmMC00YjRlLThhNjAtYTY5MDQ3MDFkMDM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0113305/?ref_=fn_al_tt_1,"People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.",6.5,19K,['John Singleton'],['John Singleton'],"['Omar Epps', 'Kristy Swanson', 'Michael Rapaport', 'Jennifer Connelly', 'Ice Cube', 'Jason Wiles', 'Tyra Banks', 'Cole Hauser', 'Laurence Fishburne', 'Bradford English', 'Regina King', 'Busta Rhymes', 'Jay R. Ferguson', 'Andrew Bryniarski', 'Trevor St. John', 'Talbert Morton', 'Adam Goldberg', 'J. Trevor Edmond']",R,1995,2h 7min,[]
"[13, 16]",513,"Third Man, The (1949)",https://images-na.ssl-images-amazon.com/images/M/MV5BZjQxYmRkMjgtMmZkZi00ZDYyLTk5OTktZWZjZTEzNGZlMWEwXkEyXkFqcGdeQXVyNDYyMDk5MTU@..jpg,http://www.imdb.com/title/tt0041959/?ref_=fn_al_tt_1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",8.1,166K,['Carol Reed'],"['Graham Greene', 'Orson Welles', 'Alexander Korda']","['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard', 'Bernard Lee', 'Paul Hörbiger', 'Ernst Deutsch', 'Siegfried Breuer', 'Erich Ponto', 'Wilfrid Hyde-White', 'Hedwig Bleibtreu', 'Nelly Arno', 'Jack Arrow', 'Harold Ayer', 'Harry Belcher', 'Leo Bieber', 'Paul Birch', 'Martin Boddey']",Approved,1949,1h 33min,[]
"[7, 16]",77,"Firm, The (1993)",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxMjM5NDYwM15BMl5BanBnXkFtZTgwODkzMzk5MDE@..jpg,http://www.imdb.com/title/tt0106918/?ref_=fn_al_tt_1,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,6.8,127K,['Sydney Pollack'],"['John Grisham', 'David Rabe', 'Robert Towne']","['Tom Cruise', 'Jeanne Tripplehorn', 'Gene Hackman', 'Hal Holbrook', 'Terry Kinney', 'Wilford Brimley', 'Ed Harris', 'Holly Hunter', 'David Strathairn', 'Gary Busey', 'Steven Hill', 'Tobin Bell', 'Barbara Garrick', 'Jerry Hardin', 'Paul Calderon', 'Jerry Weintraub', 'Sullivan Walker', 'Karina Lombard']",R,1993,2h 34min,[]
"[1, 3, 7]",1608,Buddy (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzE5NzAwN15BMl5BanBnXkFtZTcwNTE1NjAyMQ@@..jpg,http://www.imdb.com/title/tt0118787/?ref_=fn_al_tt_1,"A depiction of the true life story of Gertrude Lintz, an eccentric 1920's socialite who tries to raise a gorilla, like many chimps before him, as part of her family.",4.9,2.6K,['Caroline Thompson'],"['Gertrude Davies Lintz', 'William Joyce', 'Caroline Thompson']","['Rene Russo', 'Robbie Coltrane', 'Alan Cumming', 'Irma P. Hall', 'Peter Elliott', 'Mak Wilson', 'Lynn Robertson Bruce', 'Mark Sealey', 'Robert Tygner', 'Michelan Sisti', 'Peter Hurst', 'Leif Tilden', 'Star Townsend', 'Paul Reubens', 'John Aylward', 'Mimi Kennedy', 'Jon Simmons', 'Kathleen Klein']",PG,1997,1h 24min,[]
[4],1428,SubUrbia (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BMTFkZmQ5OWEtNjFmMC00ZTI2LWE0ZWUtN2VhOWE1MzdiOGJhXkEyXkFqcGdeQXVyMTQ4NDY5OTc@..jpg,http://www.imdb.com/title/tt6173150/?ref_=fn_al_tt_1,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.",,,"['Roger Ebert', 'Gene Siskel']","['', '']","['Roger Ebert', 'Gene Siskel']",,,,[]
[6],32,Crumb (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BNThmZGJiYzctOTdhNS00ODhiLTg4NzctNDc1ZDRmOGU1MTJmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@..jpg,http://www.imdb.com/title/tt0109508/?ref_=fn_al_tt_1,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,8.0,20K,['Terry Zwigoff'],"['Robert Crumb', 'Aline Kominsky-Crumb', 'Charles Crumb']","['Robert Crumb', 'Aline Kominsky-Crumb', 'Charles Crumb', 'Maxon Crumb', 'Robert Hughes', 'Martin Muller', 'Don Donahue', 'Dana Morgan', 'Trina Robbins', 'Spain Rodriguez', 'Bill Griffith', 'Deirdre English', 'Peggy Orenstein', 'Beatrice Crumb', 'Kathy Goodell', 'Dian Hanson', 'Sophie Crumb', 'Jesse Crumb']",R,1994,1h 59min,[]
[16],1522,Trial by Jury (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMzAzNzk0Ml5BMl5BanBnXkFtZTYwMjk1NzE5..jpg,http://www.imdb.com/title/tt0111488/?ref_=fn_al_tt_1,"Valerie is a juror in the trial of a mob boss. When her young son's life is threatened, she has no option other than to see that justice isn't done.",5.4,1.9K,['Heywood Gould'],"['Jordan Katz', 'Heywood Gould']","['Joanne Whalley', 'Armand Assante', 'Gabriel Byrne', 'William Hurt', 'Kathleen Quinlan', 'Margaret Whitton', 'Ed Lauter', 'Richard Portnow', 'Lisa Arrindell', 'Jack Gwaltney', 'Graham Jarvis', 'William R. Moses', 'Joe Santos', 'Beau Starr', 'Bryan Shilowich', 'Stuart Whitman', 'Kevin Ramsey', 'Fiona Gallagher']",R,1994.0,1h 47min,[]
"[7, 14]",740,Jane Eyre (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMjU4NDU2MjUtMGVjMS00NTBmLWI3N2QtZTk3YzY3YjZhNjY4XkEyXkFqcGdeQXVyMTA0MjU0Ng@@..jpg,http://www.imdb.com/title/tt0116684/?ref_=fn_al_tt_1,"Jane Eyre is an orphan cast out as a young girl by her aunt, Mrs. Reed, and sent to be raised in a harsh charity school for girls. There she learns to become a teacher and eventually seeks employment outside of the school. Her advertisement is answered by the housekeeper of Thornfield Hall, Mrs. Fairfax.",6.8,9.4K,['Franco Zeffirelli'],"['Charlotte Brontë', 'Hugh Whitemore', 'Franco Zeffirelli']","['William Hurt', 'Charlotte Gainsbourg', 'Anna Paquin', 'Nic Knight', 'Nicola Howard', 'Sasha Graff', 'Fiona Shaw', 'John Wood', 'Geraldine Chaplin', 'Amanda Root', 'Leanne Rowe', 'Richard Warwick', 'Judith Parker', 'Joan Plowright', 'Joséphine Serre', 'Billie Whitelaw', 'Simon Beresford', 'Chris Larkin']",PG,1996.0,1h 52min,[]
[4],1291,Celtic Pride (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MjMxNTM5Ml5BMl5BanBnXkFtZTYwOTE3NDM5..jpg,http://www.imdb.com/title/tt0115851/?ref_=fn_al_tt_1,Two over-loyal Celtic fans kidnap their opponent's star player in order to guarantee their team the championship.,5.3,9.9K,['Tom DeCerchio'],"['Judd Apatow', 'Colin Quinn']","['Damon Wayans', 'Daniel Stern', 'Dan Aykroyd', ""Gail O'Grady"", 'Christopher McDonald', 'Paul Guilfoyle', 'Adam Hendershott', 'Scott Lawrence', 'Deion Sanders', 'Bill Walton', 'Guss Williams', 'Ted Rooney', 'Vladimir Cuk', 'Keith Gibbs', 'Joe Mingle', 'Peter A. Hulne', 'Patrick Hulne', 'Will Lyman']",PG-13,1996.0,1h 31min,[]
[7],1417,"Turning, The (1992)",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MDcyMjE5OF5BMl5BanBnXkFtZTcwNTcwNTUxMQ@@..jpg,http://www.imdb.com/title/tt0105660/?ref_=fn_al_tt_1,A white supremacist returns to his hometown for the first time in years to try and save his parents' relationship.,4.8,499,['L.A. Puopolo'],"['L.A. Puopolo', 'Chris Ceraso']","['Karen Allen', 'Raymond J. Barry', 'Michael Dolan', 'Tess Harper', 'Gillian Anderson', 'Jim Simmons', 'Madison Arnold', 'Tannis Benedict', 'John Newton', ""William B. O'Boyle"", 'Murphy Larson', 'Michael P. Moran', 'Tom Trigo']",R,1992.0,1h 31min,[]
